Epoch	Train Loss	Train Acc	Val Loss	Val Acc	lr
1	1.0267	0.6077	0.9265	0.6460	0.000190
2	0.7718	0.7109	0.7868	0.7133	0.000280
3	0.7270	0.7315	0.7379	0.7257	0.000370
4	0.7149	0.7287	0.7229	0.7319	0.000460
5	0.6967	0.7376	0.7074	0.7478	0.000550
6	0.7265	0.7225	0.7543	0.7327	0.000640
7	0.7158	0.7287	0.8897	0.6681	0.000730
8	0.6824	0.7423	0.6505	0.7673	0.000820
9	0.6886	0.7438	0.6289	0.7681	0.000910
10	0.6669	0.7501	0.6880	0.7478	0.001000
11	0.6716	0.7456	0.6023	0.7894	0.001000
12	0.6659	0.7579	0.5961	0.7726	0.001000
13	0.6595	0.7510	0.6702	0.7522	0.001000
14	0.6227	0.7639	0.5311	0.8195	0.000999
15	0.5980	0.7734	0.5580	0.8035	0.000999
16	0.6110	0.7698	0.5952	0.7965	0.000999
17	0.6122	0.7664	0.6429	0.7841	0.000998
18	0.5808	0.7832	0.6057	0.7850	0.000997
19	0.6039	0.7753	0.5834	0.7956	0.000997
20	0.5962	0.7794	0.5173	0.8248	0.000996
21	0.5735	0.7804	0.5168	0.8301	0.000995
22	0.5529	0.7953	0.5500	0.8053	0.000994
23	0.5780	0.7836	0.4939	0.8248	0.000993
24	0.5497	0.7963	0.5352	0.8159	0.000992
25	0.5397	0.7970	0.5698	0.7991	0.000991
26	0.5626	0.7902	0.5151	0.8088	0.000990
27	0.5435	0.7961	0.5154	0.8195	0.000989
28	0.5310	0.8020	0.5497	0.8097	0.000987
29	0.5424	0.7976	0.5081	0.8221	0.000986
30	0.5276	0.8061	0.4626	0.8389	0.000984
31	0.5109	0.8092	0.4413	0.8398	0.000983
32	0.5303	0.8092	0.4592	0.8389	0.000981
33	0.4801	0.8264	0.4501	0.8442	0.000979
34	0.5061	0.8086	0.5083	0.8230	0.000977
35	0.4868	0.8181	0.4424	0.8469	0.000976
36	0.4947	0.8165	0.4729	0.8504	0.000974
37	0.5077	0.8137	0.3951	0.8655	0.000972
38	0.4892	0.8183	0.4538	0.8425	0.000969
39	0.4811	0.8167	0.4392	0.8460	0.000967
40	0.4908	0.8120	0.5097	0.8168	0.000965
41	0.4697	0.8226	0.4540	0.8354	0.000963
42	0.4628	0.8268	0.4410	0.8398	0.000960
43	0.4752	0.8239	0.4548	0.8389	0.000958
44	0.4763	0.8198	0.4087	0.8673	0.000955
45	0.4411	0.8307	0.4501	0.8504	0.000952
46	0.4555	0.8290	0.3843	0.8602	0.000950
47	0.4704	0.8190	0.4320	0.8593	0.000947
48	0.4640	0.8251	0.4240	0.8496	0.000944
49	0.4474	0.8287	0.3901	0.8664	0.000941
50	0.4383	0.8347	0.4334	0.8566	0.000938
51	0.4603	0.8326	0.3921	0.8646	0.000935
52	0.4397	0.8372	0.4557	0.8398	0.000932
53	0.4461	0.8370	0.4203	0.8611	0.000929
54	0.4454	0.8334	0.3999	0.8566	0.000926
55	0.4426	0.8370	0.4245	0.8469	0.000922
56	0.4350	0.8342	0.3787	0.8593	0.000919
57	0.4275	0.8404	0.3798	0.8699	0.000915
58	0.4296	0.8423	0.4186	0.8478	0.000912
59	0.4304	0.8370	0.4289	0.8496	0.000908
60	0.4142	0.8466	0.4139	0.8460	0.000905
61	0.4052	0.8510	0.4300	0.8504	0.000901
62	0.4405	0.8406	0.3639	0.8779	0.000897
63	0.4027	0.8495	0.3803	0.8655	0.000893
64	0.4179	0.8446	0.3772	0.8673	0.000889
65	0.4101	0.8474	0.3884	0.8664	0.000885
66	0.4270	0.8423	0.3908	0.8646	0.000881
67	0.4139	0.8476	0.3839	0.8602	0.000877
68	0.4045	0.8504	0.3617	0.8761	0.000873
69	0.4000	0.8529	0.3871	0.8646	0.000869
70	0.4257	0.8444	0.3517	0.8752	0.000865
71	0.3897	0.8520	0.3922	0.8602	0.000860
72	0.3795	0.8622	0.3822	0.8602	0.000856
73	0.3947	0.8521	0.3950	0.8593	0.000851
74	0.3899	0.8590	0.3893	0.8602	0.000847
75	0.3763	0.8582	0.3975	0.8584	0.000842
76	0.3870	0.8591	0.3921	0.8575	0.000838
77	0.3791	0.8593	0.3766	0.8726	0.000833
78	0.3890	0.8573	0.4461	0.8336	0.000828
79	0.3656	0.8658	0.3473	0.8805	0.000824
80	0.3680	0.8646	0.3479	0.8699	0.000819
81	0.3737	0.8565	0.3603	0.8708	0.000814
82	0.3562	0.8671	0.3626	0.8690	0.000809
83	0.3745	0.8663	0.3526	0.8770	0.000804
84	0.3608	0.8682	0.3786	0.8646	0.000799
85	0.3683	0.8660	0.3481	0.8779	0.000794
86	0.3669	0.8610	0.3463	0.8814	0.000789
87	0.3779	0.8624	0.3181	0.8788	0.000784
88	0.3650	0.8639	0.3429	0.8796	0.000779
89	0.3597	0.8633	0.3469	0.8788	0.000773
90	0.3763	0.8627	0.3563	0.8726	0.000768
91	0.3691	0.8637	0.3286	0.8796	0.000763
92	0.3510	0.8697	0.3312	0.8805	0.000757
93	0.3489	0.8705	0.3284	0.8814	0.000752
94	0.3697	0.8627	0.3562	0.8681	0.000747
95	0.3380	0.8769	0.3205	0.8823	0.000741
96	0.3600	0.8686	0.3538	0.8761	0.000736
97	0.3491	0.8752	0.3290	0.8903	0.000730
98	0.3379	0.8811	0.3537	0.8743	0.000724
99	0.3539	0.8694	0.3538	0.8796	0.000719
100	0.3568	0.8677	0.3254	0.8947	0.000713
101	0.3236	0.8790	0.3050	0.8894	0.000707
102	0.3443	0.8718	0.3372	0.8770	0.000702
103	0.3386	0.8785	0.3196	0.8912	0.000696
104	0.3422	0.8701	0.3356	0.8779	0.000690
105	0.3411	0.8752	0.3513	0.8850	0.000684
106	0.3384	0.8724	0.3283	0.8867	0.000679
107	0.3261	0.8722	0.3408	0.8832	0.000673
108	0.3279	0.8779	0.3463	0.8796	0.000667
109	0.3213	0.8800	0.3425	0.8788	0.000661
110	0.3404	0.8783	0.3247	0.8929	0.000655
111	0.3303	0.8779	0.3338	0.8814	0.000649
112	0.3207	0.8815	0.3274	0.8938	0.000643
113	0.3253	0.8803	0.3301	0.8832	0.000637
114	0.3249	0.8794	0.3100	0.9009	0.000631
115	0.3362	0.8785	0.3145	0.8947	0.000625
116	0.3010	0.8900	0.3322	0.8832	0.000619
117	0.3210	0.8796	0.3866	0.8655	0.000613
118	0.3258	0.8858	0.3357	0.8841	0.000606
119	0.3075	0.8864	0.3076	0.9009	0.000600
120	0.3020	0.8851	0.2984	0.8956	0.000594
121	0.3016	0.8887	0.3120	0.8938	0.000588
122	0.2983	0.8891	0.2962	0.9009	0.000582
123	0.3021	0.8885	0.3118	0.8903	0.000576
124	0.3045	0.8875	0.3091	0.8938	0.000569
125	0.3003	0.8928	0.3191	0.9018	0.000563
126	0.2994	0.8930	0.3631	0.8726	0.000557
127	0.2898	0.8894	0.3395	0.8867	0.000551
128	0.2970	0.8856	0.3014	0.9018	0.000544
129	0.2978	0.8875	0.3203	0.8885	0.000538
130	0.2786	0.8997	0.3092	0.8982	0.000532
131	0.3076	0.8855	0.3163	0.8938	0.000526
132	0.3006	0.8858	0.3087	0.8991	0.000519
133	0.2939	0.8910	0.3055	0.8982	0.000513
134	0.2968	0.8898	0.2905	0.9000	0.000507
135	0.2890	0.8892	0.2954	0.9027	0.000501
136	0.2787	0.9046	0.3116	0.8912	0.000494
137	0.2883	0.8894	0.2975	0.9009	0.000488
138	0.2841	0.8978	0.2957	0.8973	0.000482
139	0.2892	0.8959	0.2964	0.9035	0.000475
140	0.2885	0.8951	0.2935	0.8956	0.000469
141	0.2854	0.8981	0.2836	0.9000	0.000463
142	0.2731	0.8987	0.2769	0.9071	0.000457
143	0.2777	0.8928	0.3144	0.8894	0.000450
144	0.2896	0.8906	0.2875	0.9035	0.000444
145	0.2789	0.8919	0.3161	0.8912	0.000438
146	0.2755	0.9006	0.3153	0.8938	0.000432
147	0.2795	0.8947	0.3089	0.9009	0.000425
148	0.2734	0.9012	0.2954	0.9018	0.000419
149	0.2652	0.8987	0.3023	0.8938	0.000413
150	0.2654	0.9048	0.2896	0.9053	0.000407
151	0.2775	0.8945	0.3037	0.9000	0.000401
152	0.2770	0.9021	0.3078	0.8912	0.000395
153	0.2869	0.8959	0.2854	0.9062	0.000388
154	0.2721	0.8987	0.3060	0.8885	0.000382
155	0.2703	0.9012	0.3024	0.8965	0.000376
156	0.2717	0.9021	0.2732	0.8982	0.000370
157	0.2671	0.9061	0.2874	0.9080	0.000364
158	0.2683	0.9002	0.2750	0.9044	0.000358
159	0.2550	0.9069	0.3379	0.8805	0.000352
160	0.2520	0.9065	0.2829	0.9018	0.000346
161	0.2516	0.9127	0.3005	0.9071	0.000340
162	0.2508	0.9027	0.3026	0.8973	0.000334
163	0.2740	0.8987	0.3117	0.8938	0.000328
164	0.2601	0.9046	0.3135	0.9018	0.000322
165	0.2656	0.8981	0.2891	0.9009	0.000317
166	0.2581	0.9033	0.2755	0.9106	0.000311
167	0.2579	0.9065	0.3070	0.9009	0.000305
168	0.2618	0.9050	0.2834	0.8965	0.000299
169	0.2441	0.9120	0.2927	0.9000	0.000294
170	0.2518	0.9080	0.2987	0.9044	0.000288
171	0.2525	0.9048	0.2896	0.9009	0.000282
172	0.2576	0.9053	0.3037	0.9018	0.000277
173	0.2478	0.9065	0.2995	0.8991	0.000271
174	0.2564	0.9063	0.2968	0.9035	0.000265
175	0.2574	0.9080	0.2897	0.9088	0.000260
176	0.2474	0.9074	0.2839	0.9088	0.000254
177	0.2424	0.9125	0.3020	0.9009	0.000249
178	0.2565	0.9055	0.2926	0.8956	0.000244
179	0.2556	0.9065	0.2893	0.9009	0.000238
180	0.2305	0.9144	0.2927	0.9053	0.000233
181	0.2573	0.9069	0.2979	0.9018	0.000228
182	0.2374	0.9127	0.2898	0.9088	0.000222
183	0.2350	0.9089	0.2793	0.9106	0.000217
184	0.2466	0.9135	0.2790	0.9027	0.000212
185	0.2376	0.9182	0.2840	0.9018	0.000207
186	0.2455	0.9082	0.2953	0.9035	0.000202
187	0.2401	0.9095	0.2964	0.8956	0.000197
188	0.2411	0.9156	0.2914	0.9053	0.000192
189	0.2422	0.9118	0.2927	0.9053	0.000187
190	0.2434	0.9082	0.2990	0.8956	0.000182
191	0.2358	0.9127	0.2941	0.9044	0.000177
192	0.2443	0.9105	0.2779	0.9106	0.000173
